City Pair,Passenger Total,Year,Month_num,YYYY-MM
ADELAIDE-SYDNEY,104531,2000,4,2000-4
ALBURY-SYDNEY,9693,2000,4,2000-4
ALICE SPRINGS-DARWIN,12758,2000,4,2000-4
ALICE SPRINGS-SYDNEY,13580,2000,4,2000-4
BALLINA-SYDNEY,5282,2000,4,2000-4
BRISBANE-CAIRNS,78225,2000,4,2000-4
BRISBANE-CANBERRA,20584,2000,4,2000-4
BRISBANE-DARWIN,11761,2000,4,2000-4
BRISBANE-HAMILTON ISLAND,11897,2000,4,2000-4
BRISBANE-MACKAY,16072,2000,4,2000-4
BRISBANE-MELBOURNE,141865,2000,4,2000-4
BRISBANE-NEWCASTLE,1958,2000,4,2000-4
BRISBANE-PERTH,6508,2000,4,2000-4
BRISBANE-PROSERPINE,6839,2000,4,2000-4
BRISBANE-ROCKHAMPTON,20241,2000,4,2000-4
BRISBANE-SYDNEY,279404,2000,4,2000-4
BRISBANE-TOWNSVILLE,40465,2000,4,2000-4
BROOME-PERTH,11604,2000,4,2000-4
CAIRNS-MELBOURNE,4504,2000,4,2000-4
CAIRNS-SYDNEY,55586,2000,4,2000-4
CAIRNS-TOWNSVILLE,10696,2000,4,2000-4
CANBERRA-MELBOURNE,61994,2000,4,2000-4
CANBERRA-SYDNEY,69278,2000,4,2000-4
COFFS HARBOUR-SYDNEY,14177,2000,4,2000-4
DARWIN-SYDNEY,9154,2000,4,2000-4
DEVONPORT-MELBOURNE,11706,2000,4,2000-4
DUBBO-SYDNEY,10098,2000,4,2000-4
GOLD COAST-SYDNEY,107337,2000,4,2000-4
HOBART-MELBOURNE,69594,2000,4,2000-4
HOBART-SYDNEY,9493,2000,4,2000-4
KALGOORLIE-PERTH,14240,2000,4,2000-4
KARRATHA-PERTH,12008,2000,4,2000-4
LAUNCESTON-MELBOURNE,40232,2000,4,2000-4
LAUNCESTON-SYDNEY,7066,2000,4,2000-4
MELBOURNE-BURNIE,8485,2000,4,2000-4
MELBOURNE-GOLD COAST,49253,2000,4,2000-4
MELBOURNE-MILDURA,9292,2000,4,2000-4
MELBOURNE-NEWCASTLE,3500,2000,4,2000-4
MELBOURNE-PERTH,86468,2000,4,2000-4
MELBOURNE-SYDNEY,437369,2000,4,2000-4
PERTH-PORT HEDLAND,6003,2000,4,2000-4
PERTH-SYDNEY,92003,2000,4,2000-4
SUNSHINE COAST-MELBOURNE,3122,2000,4,2000-4
SUNSHINE COAST-SYDNEY,14267,2000,4,2000-4
SYDNEY-TOWNSVILLE,116,2000,4,2000-4
SYDNEY-WAGGA WAGGA,9797,2000,4,2000-4
ADELAIDE-ALICE SPRINGS,11755,2000,5,2000-5
ADELAIDE-BRISBANE,17163,2000,5,2000-5
ADELAIDE-CANBERRA,8830,2000,5,2000-5
ADELAIDE-DARWIN,13949,2000,5,2000-5
ADELAIDE-MELBOURNE,113137,2000,5,2000-5
ADELAIDE-PERTH,31356,2000,5,2000-5
ADELAIDE-PORT LINCOLN,8316,2000,5,2000-5
ADELAIDE-SYDNEY,96113,2000,5,2000-5
ALBURY-SYDNEY,9831,2000,5,2000-5
ALICE SPRINGS-DARWIN,15270,2000,5,2000-5
ALICE SPRINGS-SYDNEY,13048,2000,5,2000-5
BALLINA-SYDNEY,6433,2000,5,2000-5
BRISBANE-CAIRNS,77077,2000,5,2000-5
BRISBANE-CANBERRA,20794,2000,5,2000-5
BRISBANE-DARWIN,12938,2000,5,2000-5
BRISBANE-HAMILTON ISLAND,8934,2000,5,2000-5
BRISBANE-MACKAY,16918,2000,5,2000-5
BRISBANE-MELBOURNE,134911,2000,5,2000-5
BRISBANE-NEWCASTLE,3332,2000,5,2000-5
BRISBANE-PERTH,4828,2000,5,2000-5
BRISBANE-PROSERPINE,5710,2000,5,2000-5
BRISBANE-ROCKHAMPTON,20325,2000,5,2000-5
BRISBANE-SYDNEY,265498,2000,5,2000-5
BRISBANE-TOWNSVILLE,43094,2000,5,2000-5
BROOME-PERTH,12025,2000,5,2000-5
CAIRNS-MELBOURNE,3295,2000,5,2000-5
CAIRNS-SYDNEY,51516,2000,5,2000-5
CAIRNS-TOWNSVILLE,11560,2000,5,2000-5
CANBERRA-MELBOURNE,65963,2000,5,2000-5
CANBERRA-SYDNEY,78787,2000,5,2000-5
COFFS HARBOUR-SYDNEY,13468,2000,5,2000-5
DARWIN-SYDNEY,10227,2000,5,2000-5
DEVONPORT-MELBOURNE,10200,2000,5,2000-5
DUBBO-SYDNEY,10022,2000,5,2000-5
GOLD COAST-SYDNEY,96263,2000,5,2000-5
HOBART-MELBOURNE,61913,2000,5,2000-5
HOBART-SYDNEY,9840,2000,5,2000-5
KALGOORLIE-PERTH,15492,2000,5,2000-5
KARRATHA-PERTH,12595,2000,5,2000-5
LAUNCESTON-MELBOURNE,34164,2000,5,2000-5
LAUNCESTON-SYDNEY,4641,2000,5,2000-5
MELBOURNE-BURNIE,7530,2000,5,2000-5
MELBOURNE-GOLD COAST,38746,2000,5,2000-5
MELBOURNE-MILDURA,10005,2000,5,2000-5
MELBOURNE-NEWCASTLE,3865,2000,5,2000-5
MELBOURNE-PERTH,75971,2000,5,2000-5
MELBOURNE-SYDNEY,453864,2000,5,2000-5
PERTH-PORT HEDLAND,6281,2000,5,2000-5
PERTH-SYDNEY,80452,2000,5,2000-5
SUNSHINE COAST-MELBOURNE,2114,2000,5,2000-5
SUNSHINE COAST-SYDNEY,12141,2000,5,2000-5
SYDNEY-TOWNSVILLE,241,2000,5,2000-5
SYDNEY-WAGGA WAGGA,10139,2000,5,2000-5
ADELAIDE-ALICE SPRINGS,13280,2000,6,2000-6
ADELAIDE-BRISBANE,17006,2000,6,2000-6
ADELAIDE-CANBERRA,9253,2000,6,2000-6
ADELAIDE-DARWIN,15459,2000,6,2000-6
ADELAIDE-MELBOURNE,113065,2000,6,2000-6
ADELAIDE-PERTH,30634,2000,6,2000-6
ADELAIDE-PORT LINCOLN,8573,2000,6,2000-6
ADELAIDE-SYDNEY,91913,2000,6,2000-6
ALBURY-SYDNEY,9440,2000,6,2000-6
ALICE SPRINGS-DARWIN,16609,2000,6,2000-6
ALICE SPRINGS-SYDNEY,13551,2000,6,2000-6
BALLINA-SYDNEY,9159,2000,6,2000-6
BRISBANE-CAIRNS,88987,2000,6,2000-6
BRISBANE-CANBERRA,21537,2000,6,2000-6
BRISBANE-DARWIN,13863,2000,6,2000-6
BRISBANE-HAMILTON ISLAND,9518,2000,6,2000-6
BRISBANE-MACKAY,17540,2000,6,2000-6
BRISBANE-MELBOURNE,147275,2000,6,2000-6
BRISBANE-NEWCASTLE,4797,2000,6,2000-6
BRISBANE-PERTH,5029,2000,6,2000-6
BRISBANE-PROSERPINE,6483,2000,6,2000-6
BRISBANE-ROCKHAMPTON,20698,2000,6,2000-6
BRISBANE-SYDNEY,280784,2000,6,2000-6
BRISBANE-TOWNSVILLE,46031,2000,6,2000-6
BROOME-PERTH,14476,2000,6,2000-6
CAIRNS-MELBOURNE,5028,2000,6,2000-6
CAIRNS-SYDNEY,61625,2000,6,2000-6
CAIRNS-TOWNSVILLE,12580,2000,6,2000-6
CANBERRA-MELBOURNE,63677,2000,6,2000-6
CANBERRA-SYDNEY,77992,2000,6,2000-6
COFFS HARBOUR-SYDNEY,13053,2000,6,2000-6
DARWIN-SYDNEY,14455,2000,6,2000-6
DEVONPORT-MELBOURNE,10541,2000,6,2000-6
DUBBO-SYDNEY,10646,2000,6,2000-6
GOLD COAST-SYDNEY,98343,2000,6,2000-6
HOBART-MELBOURNE,60671,2000,6,2000-6
HOBART-SYDNEY,10650,2000,6,2000-6
KALGOORLIE-PERTH,16139,2000,6,2000-6
KARRATHA-PERTH,13057,2000,6,2000-6
LAUNCESTON-MELBOURNE,33339,2000,6,2000-6
LAUNCESTON-SYDNEY,4579,2000,6,2000-6
MELBOURNE-BURNIE,7643,2000,6,2000-6
MELBOURNE-GOLD COAST,49573,2000,6,2000-6
MELBOURNE-MILDURA,9676,2000,6,2000-6
MELBOURNE-NEWCASTLE,4532,2000,6,2000-6
MELBOURNE-PERTH,75819,2000,6,2000-6
MELBOURNE-SYDNEY,465074,2000,6,2000-6
PERTH-PORT HEDLAND,6773,2000,6,2000-6
PERTH-SYDNEY,77554,2000,6,2000-6
SUNSHINE COAST-MELBOURNE,2948,2000,6,2000-6
SUNSHINE COAST-SYDNEY,10267,2000,6,2000-6
SYDNEY-WAGGA WAGGA,9813,2000,6,2000-6
